Ping An Bank,000001.SZ
Hang Seng Bank,0011.HK
Bank of Ningbo,002142.SZ
Bank of East Asia,0023.HK
Dah Sing Financial,0440.HK
BAWAG Group,0B2.F
Riyad Bank,1010.SR
Bank AlJazira,1020.SR
CIMB Group,1023.KL
Saudi Investment Bank,1030.SR
Banque Saudi Fransi,1050.SR
The Saudi British Bank,1060.SR
Arab National Bank,1080.SR
Al Rajhi Bank,1120.SR
Bank Albilad,1140.SR
Alinma Bank,1150.SR
The Saudi National Bank,1180.SR
PBBank (Public Bank Bhd),1295.KL
ICBC,1398.HK
China Zheshang Bank,2016.HK
Dah Sing Banking Group,2356.HK
Bank of China (Hong Kong),2388.HK
Chang Hwa Commercial Bank,2801.TW
Taiwan Business Bank,2834.TW
Hua Nan Financial Holdings,2880.TW
Fubon Financial,2881.TW
Cathay Financial Holding,2882.TW
China Development Financial,2883.TW
E.SUN Bank,2884.TW
Yuanta Financial Holding,2885.TW
MFHC,2886.TW
Taishin Financial Holdings,2887.TW
Shin Kong Financial Holding,2888.TW
Sinopac Financial Holdings,2890.TW
CTBC Financial Holding,2891.TW
First Financial Holding,2892.TW
Chongqing Rural Commercial Bank,3618.HK
CM Bank,3968.HK
(HLBank) Hong Leong Bank,5819.KL
Shanghai Commercial and Savings Bank,5876.TW
Taiwan Cooperative Financial,5880.TW
Shanghai Pudong Development Bank,600000.SS
Hua Xia Bank,600015.SS
China Minsheng Bank,600016.SS
CITIC Securities,600030.SS
Bank of Jiangsu,600919.SS
Bank of Nanjing,601009.SS
Industrial Bank,601166.SS
Bank of Beijing,601169.SS
Guotai Junan Securities,601211.SS
Bank of Shanghai,601229.SS
Agricultural Bank of China,601288.SS
Bank of Communications,601328.SS
Postal Savings Bank of China,601658.SS
China Everbright Bank,601818.SS
China Construction Bank,601939.SS
Bank of China,601988.SS
CITIC Bank,601998.SS
Japan Post Bank,7182.T
Resona Holdings,8308.T
Shinkin Central Bank,8421.T
Daiwa Securities Group,8601.T
AIB Group (Allied Irish Banks),A5G.IR
ABN AMRO,ABN.AS
Crédit Agricole,ACA.PA
ACNB Corporation,ACNB
Akbank,AKBNK.IS
Aktia Bank,AKTIA.HE
Ally,ALLY
Alpha Services and Holdings,ALPHA.AT
Alerus Financial,ALRS
Amalgamated Financial,AMAL
American National Bank & Trust Company,AMNB
Amerant Bancorp,AMTB
ANZ Bank,ANZ.AX
Arion banki,ARION.IC
Aareal Bank,ARL.F
Arrow Financial,AROW
Bank Jago,ARTO.JK
Associated Banc-Corp,ASB
Ames National Corp.,ATLO
Atlantic Union Bankshares,AUB
AU Small Finance Bank,AUBANK.NS
Axos Financial,AX
Axis Bank,AXISBANK.BO
Bank of America,BAC
Julius Bär,BAER.SW
Banco BPM,BAMI.MI
Banc of California,BANC
Bandhan Bank,BANDHANBNK.NS
BancFirst,BANF
Bank of Baroda,BANKBARODA.NS
Bank of India,BANKINDIA.NS
Banner Bank,BANR
Credicorp,BAP
Banco del Bajío,BBAJIOO.MX
BBVA Argentina,BBAR
Banco do Brasil,BBAS3.SA
Bank Central Asia,BBCA.JK
Banco Bradesco,BBD
Bangkok Bank,BBL.BK
Bank Negara Indonesia,BBNI.JK
Bank Rakyat Indonesia,BBRI.JK
Banco Bilbao Vizcaya Argentaria,BBVA
BCB Bancorp,BCBP
Banco de Chile,BCH
Banco de Crédito e Inversiones,BCI.SN
BayCom (United Business Bank),BCML
Banco Comercial Português (Millennium bcp),BCP.LS
Barclays,BCS
Banque Cantonale Vaudoise,BCVN.SW
Bank Danamon,BDMN.JK
BDO Unibank,BDOUY
Berner Kantonalbank,BEKN.SW
Bendigo and Adelaide Bank,BEN.AX
Bank First,BFC
BankFinancial,BFIN
Bar Harbor Bankshares,BHB
Berkshire Hills Bancorp,BHLB
Bank Islam Malaysia,BIMB.KL
Bank of Ireland Group,BIRG.IR
Bank of New York Mellon,BK
Bankinter,BKT.MC
BankUnited,BKU
Banco Latinoamericano de Comercio Exterior,BLX
Banco Macro,BMA
Banca Mediolanum,BMED.MI
Bank of Montreal,BMO
Bank of Marin Bancorp,BMRC
Bank Mandiri,BMRI.JK
Permata Bank,BNLI.JK
BNP Paribas,BNP.PA
Scotiabank,BNS
Bank of Hawaii,BOH
BOK Financial,BOKF
Banco Popular,BPOP
Brookline Bancorp,BRKL
Banco Santander-Chile,BSAC
Banco Santander Brasil,BSBR
Banco de Brasília,BSLI3.SA
Banco Santander México,BSMX
Sierra Bancorp,BSRR
Bank7,BSVN
Bank für Tirol und Vorarlberg,BTS.VI
First Busey,BUSE
Bridgewater Bancshares,BWB
Bankwell Financial Group,BWFG
Byline Bancorp,BY
Citigroup,C
CaixaBank,CABK.MC
Camden National Bank,CAC
Cadence Bancorp,CADE
California BanCorp,CALB
Canara Bank,CANBK.NS
Carver Bancorp,CARV
Pathward Financial,CASH
Cambridge Bancorp,CATC
Cathay General Bancorp,CATY
Commonwealth Bank,CBA.AX
Close Brothers Group,CBG.L
Commerzbank,CBK.F
Commerce Bancshares,CBSH
Community Bank System,CBU
Capital City Bank Group,CCBG
CNB Financial Corp,CCNE
C&F Financial Corporation,CFFI
Capitol Federal Savings Bank,CFFN
Citizens Financial Group,CFG
Cullen/Frost Bankers,CFR
Chiba Bank,CHBAY
City Holding Company,CHCO
Bancolombia,CIB
Commercial International Bank,CIN.F
Civista Bancshares,CIVB
CIBC,CM
Cembra Money Bank,CMBN.SW
ConnectOne Bancorp,CNOB
Capital One,COF
Columbia Bank,COLB
Central Pacific Financial,CPF
Capitec Bank,CPI.JO
Credit Suisse,CS
CSB Bank,CSBBANK.NS
CapStar Financial,CSTR
Community Trust Bancorp,CTBI
City Union Bank,CUB.NS
Customers Bancorp,CUBI
CVB Financial,CVBF
Central Valley Community Bancorp,CVCY
Codorus Valley Bancorp,CVLY
